CUSTOMER,OVERALLSATISFACTION,FOODQUALITY,SPEEDSATISFACTION,ORDERACCURACY
124,5.000,5.000,5.000,True
125,2.000,2.000,2.000,True
126,5.000,5.000,5.000,True
127,1.000,1.000,1.000,True
128,3.000,3.000,3.000,False
129,5.000,5.000,5.000,True
130,3.000,3.000,3.000,False
131,5.000,5.000,5.000,True
132,2.000,2.000,2.000,True
133,4.000,4.000,4.000,False
134,3.000,3.000,3.000,True
135,1.000,1.000,1.000,True
136,5.000,5.000,5.000,True
137,2.000,2.000,2.000,True
138,4.000,4.000,4.000,False
139,5.000,5.000,5.000,True
140,2.000,2.000,2.000,True
141,5.000,5.000,5.000,True
142,3.000,3.000,3.000,False
143,1.000,1.000,1.000,True
144,5.000,5.000,5.000,True
145,3.000,3.000,3.000,True
146,2.000,2.000,2.000,True
147,2.000,2.000,2.000,False
148,4.000,4.000,4.000,True
149,4.000,4.000,4.000,True
150,3.000,3.000,3.000,True
151,5.000,5.000,5.000,True
152,3.000,3.000,3.000,False
153,1.000,1.000,1.000,True
154,5.000,5.000,5.000,True
155,5.000,5.000,5.000,True
156,2.000,2.000,2.000,True
157,1.000,1.000,1.000,True
158,5.000,5.000,5.000,True
159,2.000,2.000,2.000,False
160,3.000,3.000,3.000,True
161,5.000,5.000,5.000,True
162,3.000,3.000,3.000,True
163,4.000,4.000,4.000,True
164,5.000,5.000,5.000,True
165,2.000,2.000,2.000,True
166,5.000,5.000,5.000,True
167,1.000,1.000,1.000,True
168,3.000,3.000,3.000,False
169,5.000,5.000,5.000,True
170,3.000,3.000,3.000,False
171,5.000,5.000,5.000,True
172,2.000,2.000,2.000,True
173,4.000,4.000,4.000,False
174,3.000,3.000,3.000,True
175,1.000,1.000,1.000,True
176,5.000,5.000,5.000,True
177,2.000,2.000,2.000,True
178,4.000,4.000,4.000,False
179,5.000,5.000,5.000,True
180,2.000,2.000,2.000,True
181,5.000,5.000,5.000,True
182,3.000,3.000,3.000,False
183,1.000,1.000,1.000,True
184,5.000,5.000,5.000,True
185,3.000,3.000,3.000,True
186,2.000,2.000,2.000,True
187,2.000,2.000,2.000,False
188,4.000,4.000,4.000,True
189,4.000,4.000,4.000,True
190,3.000,3.000,3.000,True
191,5.000,5.000,5.000,True
192,3.000,3.000,3.000,False
193,1.000,1.000,1.000,True
194,5.000,5.000,5.000,True
195,5.000,5.000,5.000,True
196,2.000,2.000,2.000,True
197,1.000,1.000,1.000,True
198,5.000,5.000,5.000,True
199,2.000,2.000,2.000,False
200,3.000,3.000,3.000,True
201,5.000,5.000,5.000,True
202,3.000,3.000,3.000,True
203,4.000,4.000,4.000,True
204,5.000,5.000,5.000,True
205,2.000,2.000,2.000,True
206,5.000,5.000,5.000,True
207,1.000,1.000,1.000,True
208,3.000,3.000,3.000,False
209,5.000,5.000,5.000,True
210,3.000,3.000,3.000,False
211,5.000,5.000,5.000,True
212,2.000,2.000,2.000,True
213,4.000,4.000,4.000,False
214,3.000,3.000,3.000,True
215,1.000,1.000,1.000,True
216,5.000,5.000,5.000,True
217,2.000,2.000,2.000,True
218,4.000,4.000,4.000,False
219,5.000,5.000,5.000,True
220,2.000,2.000,2.000,True
221,5.000,5.000,5.000,True
222,3.000,3.000,3.000,False
223,1.000,1.000,1.000,True
224,5.000,5.000,5.000,True
225,3.000,3.000,3.000,True
226,2.000,2.000,2.000,True
227,2.000,2.000,2.000,False
228,4.000,4.000,4.000,True
229,4.000,4.000,4.000,True
230,3.000,3.000,3.000,True
231,5.000,5.000,5.000,True
232,3.000,3.000,3.000,False
233,1.000,1.000,1.000,True
234,5.000,5.000,5.000,True
235,5.000,5.000,5.000,True
236,2.000,2.000,2.000,True
237,1.000,1.000,1.000,True
238,5.000,5.000,5.000,True
239,2.000,2.000,2.000,False
240,3.000,3.000,3.000,True
241,5.000,5.000,5.000,True
242,3.000,3.000,3.000,True
243,4.000,4.000,4.000,True
244,5.000,5.000,5.000,True
245,2.000,2.000,2.000,True
246,5.000,5.000,5.000,True
247,1.000,1.000,1.000,True
248,3.000,3.000,3.000,False
249,5.000,5.000,5.000,True
250,3.000,3.000,3.000,False
251,5.000,5.000,5.000,True
252,2.000,2.000,2.000,True
253,4.000,4.000,4.000,False
254,3.000,3.000,3.000,True
255,1.000,1.000,1.000,True
256,5.000,5.000,5.000,True
257,2.000,2.000,2.000,True
258,4.000,4.000,4.000,False
259,5.000,5.000,5.000,True
260,2.000,2.000,2.000,True
261,5.000,5.000,5.000,True
262,3.000,3.000,3.000,False
263,1.000,1.000,1.000,True
264,5.000,5.000,5.000,True
265,3.000,3.000,3.000,True
266,2.000,2.000,2.000,True
267,2.000,2.000,2.000,False
268,4.000,4.000,4.000,True
269,4.000,4.000,4.000,True
270,3.000,3.000,3.000,True
271,5.000,5.000,5.000,True
272,3.000,3.000,3.000,False
273,1.000,1.000,1.000,True
274,5.000,5.000,5.000,True
275,5.000,5.000,5.000,True
276,2.000,2.000,2.000,True
277,1.000,1.000,1.000,True
278,5.000,5.000,5.000,True
279,2.000,2.000,2.000,False
280,3.000,3.000,3.000,True
281,5.000,5.000,5.000,True
282,3.000,3.000,3.000,True
283,4.000,4.000,4.000,True
284,5.000,5.000,5.000,True
285,2.000,2.000,2.000,True
286,5.000,5.000,5.000,True
287,1.000,1.000,1.000,True
288,3.000,3.000,3.000,False
289,5.000,5.000,5.000,True
290,3.000,3.000,3.000,False
291,5.000,5.000,5.000,True
292,2.000,2.000,2.000,True
293,4.000,4.000,4.000,False
294,3.000,3.000,3.000,True
295,1.000,1.000,1.000,True
296,5.000,5.000,5.000,True
297,2.000,2.000,2.000,True
298,4.000,4.000,4.000,False
299,5.000,5.000,5.000,True
300,2.000,2.000,2.000,True
301,5.000,5.000,5.000,True
302,3.000,3.000,3.000,False
303,1.000,1.000,1.000,True
304,5.000,5.000,5.000,True
305,3.000,3.000,3.000,True
306,2.000,2.000,2.000,True
307,2.000,2.000,2.000,False
308,4.000,4.000,4.000,True
309,4.000,4.000,4.000,True
310,3.000,3.000,3.000,True
311,5.000,5.000,5.000,True
312,3.000,3.000,3.000,False
313,1.000,1.000,1.000,True
314,5.000,5.000,5.000,True
315,5.000,5.000,5.000,True
316,2.000,2.000,2.000,True
317,1.000,1.000,1.000,True
318,5.000,5.000,5.000,True
319,2.000,2.000,2.000,False
320,3.000,3.000,3.000,True
321,3.000,5.000,5.000,True
322,3.000,3.000,3.000,True
323,3.000,4.000,4.000,True
324,3.000,5.000,5.000,True
325,3.000,2.000,2.000,True
326,3.000,5.000,5.000,True
327,3.000,1.000,1.000,True
328,3.000,3.000,3.000,False
329,3.000,5.000,5.000,True
330,3.000,3.000,3.000,False
331,3.000,5.000,5.000,True
332,3.000,2.000,2.000,True
333,3.000,4.000,4.000,False
334,3.000,3.000,3.000,True
335,3.000,1.000,1.000,True
336,3.000,5.000,5.000,True
337,3.000,2.000,2.000,True
338,3.000,4.000,4.000,False
339,3.000,5.000,5.000,True
340,3.000,2.000,2.000,True
341,3.000,5.000,5.000,True
342,3.000,3.000,3.000,False
343,3.000,1.000,1.000,True
344,5.000,5.000,5.000,True
345,3.000,3.000,3.000,True
346,4.000,2.000,2.000,True
347,5.000,2.000,2.000,False
348,2.000,4.000,4.000,True
349,5.000,4.000,4.000,True
350,1.000,3.000,3.000,True
351,3.000,5.000,5.000,True
352,5.000,3.000,3.000,False
353,3.000,1.000,1.000,True
354,5.000,5.000,5.000,True
355,2.000,5.000,5.000,True
356,4.000,2.000,2.000,True
357,3.000,1.000,1.000,True
358,1.000,5.000,5.000,True
359,5.000,2.000,2.000,False
360,2.000,3.000,3.000,True
361,4.000,3.000,3.000,True
362,5.000,5.000,5.000,True
363,2.000,3.000,3.000,True
364,5.000,4.000,4.000,True
365,3.000,5.000,5.000,True
366,1.000,2.000,2.000,True
367,5.000,5.000,5.000,True
368,3.000,1.000,1.000,False
369,2.000,3.000,3.000,True
370,2.000,5.000,5.000,False
371,4.000,3.000,3.000,True
372,4.000,5.000,5.000,True
373,3.000,2.000,2.000,False
374,5.000,4.000,4.000,True
375,3.000,3.000,3.000,True
376,1.000,1.000,1.000,True
377,5.000,5.000,5.000,True
378,5.000,2.000,2.000,False
379,2.000,4.000,4.000,True
380,1.000,5.000,5.000,True
381,5.000,2.000,2.000,True
382,2.000,5.000,5.000,False
383,3.000,3.000,3.000,True
384,5.000,1.000,1.000,True
385,3.000,5.000,5.000,True
386,4.000,3.000,3.000,True
387,5.000,2.000,2.000,False
388,2.000,2.000,2.000,True
389,5.000,4.000,4.000,True
390,1.000,4.000,4.000,True
391,3.000,3.000,3.000,True
392,5.000,5.000,5.000,False
393,3.000,3.000,3.000,True
394,5.000,1.000,1.000,True
395,2.000,5.000,5.000,True
396,4.000,5.000,5.000,True
397,3.000,2.000,2.000,True
398,1.000,1.000,1.000,True
399,5.000,5.000,5.000,False
400,2.000,2.000,2.000,True
401,4.000,3.000,3.000,True
402,5.000,5.000,5.000,True
403,2.000,3.000,3.000,True
404,5.000,4.000,4.000,True
405,3.000,5.000,5.000,True
406,1.000,2.000,2.000,True
407,5.000,5.000,5.000,True
408,3.000,1.000,1.000,False
409,2.000,3.000,3.000,True
410,2.000,5.000,5.000,False
411,4.000,3.000,3.000,True
412,4.000,5.000,5.000,True
413,3.000,2.000,2.000,False
414,5.000,4.000,4.000,True
415,3.000,3.000,3.000,True
416,1.000,1.000,1.000,True
417,5.000,5.000,5.000,True
418,5.000,2.000,2.000,False
419,2.000,4.000,4.000,True
420,1.000,5.000,5.000,True
421,5.000,2.000,2.000,True
422,2.000,5.000,5.000,False
423,3.000,3.000,3.000,True
424,5.000,1.000,1.000,True
425,3.000,5.000,5.000,True
426,4.000,3.000,3.000,True
427,5.000,2.000,2.000,False
428,2.000,2.000,2.000,True
429,5.000,4.000,4.000,True
430,1.000,4.000,4.000,True
431,3.000,3.000,3.000,True
432,5.000,5.000,5.000,False
433,3.000,3.000,3.000,True
434,5.000,1.000,1.000,True
435,2.000,5.000,5.000,True
436,4.000,5.000,5.000,True
437,3.000,2.000,2.000,True
438,1.000,1.000,1.000,True
439,5.000,5.000,5.000,False
440,2.000,2.000,2.000,True
441,4.000,3.000,3.000,True
442,5.000,5.000,5.000,True
443,2.000,3.000,3.000,True
444,5.000,4.000,4.000,True
445,3.000,5.000,5.000,True
446,1.000,2.000,2.000,True
447,5.000,5.000,5.000,True
448,3.000,1.000,1.000,False
449,2.000,3.000,3.000,True
450,2.000,5.000,5.000,False
451,4.000,3.000,3.000,True
452,4.000,5.000,5.000,True
453,3.000,2.000,2.000,False
454,5.000,4.000,4.000,True
455,3.000,3.000,3.000,True
456,1.000,1.000,1.000,True
457,5.000,5.000,5.000,True
458,5.000,2.000,2.000,False
459,2.000,4.000,4.000,True
460,1.000,5.000,5.000,True
461,5.000,2.000,2.000,True
462,2.000,5.000,5.000,False
463,3.000,3.000,3.000,True
464,5.000,1.000,1.000,True
465,3.000,5.000,5.000,True
466,4.000,3.000,3.000,True
467,5.000,2.000,2.000,False
468,2.000,2.000,2.000,True
469,5.000,4.000,4.000,True
470,1.000,4.000,4.000,True
471,3.000,3.000,3.000,True
472,5.000,5.000,5.000,False
473,3.000,3.000,3.000,True
474,5.000,1.000,1.000,True
475,2.000,5.000,5.000,True
476,4.000,5.000,5.000,True
477,3.000,2.000,2.000,True
478,1.000,1.000,1.000,True
479,5.000,5.000,5.000,False
480,2.000,2.000,2.000,True
481,4.000,3.000,3.000,True
482,5.000,5.000,5.000,True
483,2.000,3.000,3.000,True
484,5.000,4.000,4.000,True
485,3.000,5.000,5.000,True
486,1.000,2.000,2.000,True
487,5.000,5.000,5.000,True
488,3.000,1.000,1.000,False
489,2.000,3.000,3.000,True
490,2.000,5.000,5.000,False
491,4.000,3.000,3.000,True
492,4.000,5.000,5.000,True
493,3.000,2.000,2.000,False
494,5.000,4.000,4.000,True
495,3.000,3.000,3.000,True
496,1.000,1.000,1.000,True
497,5.000,5.000,5.000,True
498,5.000,2.000,2.000,False
499,2.000,4.000,4.000,True
500,1.000,5.000,5.000,True
501,5.000,2.000,2.000,True
502,2.000,5.000,5.000,False
503,3.000,3.000,3.000,True
504,3.000,1.000,1.000,True
505,5.000,5.000,5.000,True
506,3.000,3.000,3.000,True
507,4.000,2.000,2.000,False
508,5.000,2.000,2.000,True
509,2.000,4.000,4.000,True
510,5.000,4.000,4.000,True
511,1.000,3.000,3.000,True
512,3.000,5.000,5.000,False
513,5.000,3.000,3.000,True
514,3.000,1.000,1.000,True
515,5.000,5.000,5.000,True
516,2.000,5.000,5.000,True
517,4.000,2.000,2.000,True
518,3.000,1.000,1.000,True
519,1.000,5.000,5.000,False
520,5.000,2.000,2.000,True
521,2.000,3.000,3.000,True
522,4.000,3.000,3.000,True
523,5.000,3.000,3.000,True
524,2.000,3.000,3.000,True
525,5.000,3.000,3.000,True
526,3.000,3.000,3.000,True
527,1.000,3.000,3.000,True
528,5.000,3.000,3.000,False
529,3.000,3.000,3.000,True
530,2.000,3.000,3.000,False
531,2.000,3.000,3.000,True
532,4.000,3.000,3.000,True
533,4.000,3.000,3.000,False
534,3.000,3.000,5.000,True
535,5.000,3.000,3.000,True
536,3.000,5.000,4.000,True
537,1.000,3.000,5.000,True
538,5.000,4.000,2.000,False
539,5.000,5.000,5.000,True
540,2.000,2.000,1.000,True
541,1.000,5.000,3.000,True
542,5.000,1.000,5.000,False
543,2.000,3.000,3.000,True
544,3.000,5.000,5.000,True
545,5.000,3.000,2.000,True
546,3.000,5.000,4.000,True
547,4.000,2.000,3.000,False
548,5.000,4.000,1.000,True
549,2.000,3.000,5.000,True
550,5.000,1.000,2.000,True
551,1.000,5.000,4.000,True
552,3.000,2.000,5.000,False
553,5.000,4.000,2.000,True
554,3.000,5.000,5.000,True
555,5.000,2.000,3.000,True
556,2.000,5.000,1.000,True
557,4.000,3.000,5.000,True
558,3.000,1.000,3.000,True
559,1.000,5.000,2.000,False
560,5.000,3.000,2.000,True
561,2.000,2.000,4.000,True
562,4.000,2.000,4.000,True
563,5.000,4.000,3.000,True
564,2.000,4.000,5.000,True
565,5.000,3.000,3.000,True
566,3.000,5.000,1.000,True
567,1.000,3.000,5.000,True
568,5.000,1.000,5.000,False
569,3.000,5.000,2.000,True
570,2.000,5.000,1.000,False
571,2.000,2.000,5.000,True
572,4.000,1.000,2.000,True
573,4.000,5.000,3.000,False
574,3.000,2.000,5.000,True
575,5.000,3.000,3.000,True
576,3.000,5.000,4.000,True
577,1.000,3.000,5.000,True
578,5.000,4.000,2.000,False
579,5.000,5.000,5.000,True
580,2.000,2.000,1.000,True
581,1.000,5.000,3.000,True
582,5.000,1.000,5.000,False
583,2.000,3.000,3.000,True
584,3.000,5.000,5.000,True
585,5.000,3.000,2.000,True
586,3.000,5.000,4.000,True
587,4.000,2.000,3.000,False
588,5.000,4.000,1.000,True
589,2.000,3.000,5.000,True
590,5.000,1.000,2.000,True
591,1.000,5.000,4.000,True
592,3.000,2.000,5.000,False
593,5.000,4.000,2.000,True
594,3.000,5.000,5.000,True
595,5.000,2.000,3.000,True
596,2.000,5.000,1.000,True
597,4.000,3.000,5.000,True
598,3.000,1.000,3.000,True
599,1.000,5.000,2.000,False
600,5.000,3.000,2.000,True
601,2.000,2.000,4.000,True
602,4.000,2.000,4.000,True
603,5.000,4.000,3.000,True
604,2.000,4.000,5.000,True
605,5.000,3.000,3.000,True
606,3.000,5.000,1.000,True
607,1.000,3.000,5.000,True
608,5.000,1.000,5.000,False
609,3.000,5.000,2.000,True
610,2.000,5.000,1.000,False
611,2.000,2.000,5.000,True
612,4.000,1.000,2.000,True
613,4.000,5.000,3.000,False
614,3.000,2.000,5.000,True
615,5.000,3.000,3.000,True
616,3.000,5.000,4.000,True
617,1.000,3.000,5.000,True
618,5.000,4.000,2.000,False
619,5.000,5.000,5.000,True
620,2.000,2.000,1.000,True
621,1.000,5.000,3.000,True
622,5.000,1.000,5.000,False
623,2.000,3.000,3.000,True
624,3.000,5.000,5.000,True
625,5.000,3.000,2.000,True
626,3.000,5.000,4.000,True
627,4.000,2.000,3.000,False
628,5.000,4.000,1.000,True
629,2.000,3.000,5.000,True
630,5.000,1.000,2.000,True
631,1.000,5.000,4.000,True
632,3.000,2.000,5.000,False
633,5.000,4.000,2.000,True
634,3.000,5.000,5.000,True
635,5.000,2.000,3.000,True
636,2.000,5.000,1.000,True
637,4.000,3.000,5.000,True
638,3.000,1.000,3.000,True
639,1.000,5.000,2.000,False
640,5.000,3.000,2.000,True
641,2.000,2.000,4.000,True
642,4.000,2.000,4.000,True
643,5.000,4.000,3.000,True
644,2.000,4.000,5.000,True
645,5.000,3.000,3.000,True
646,3.000,5.000,1.000,True
647,1.000,3.000,5.000,True
648,5.000,1.000,5.000,False
649,3.000,5.000,2.000,True
650,2.000,5.000,1.000,False
651,2.000,2.000,5.000,True
652,4.000,1.000,2.000,True
653,4.000,5.000,3.000,False
654,3.000,2.000,5.000,True
655,5.000,3.000,3.000,True
656,3.000,5.000,4.000,True
657,1.000,3.000,5.000,True
658,5.000,4.000,2.000,False
659,5.000,5.000,5.000,True
660,2.000,2.000,1.000,True
661,1.000,5.000,3.000,True
662,5.000,1.000,5.000,False
663,2.000,3.000,3.000,True
664,3.000,5.000,5.000,True
665,3.000,3.000,2.000,True
666,5.000,5.000,4.000,True
667,3.000,2.000,3.000,False
668,4.000,4.000,1.000,True
669,5.000,3.000,5.000,True
670,2.000,1.000,2.000,True
671,5.000,5.000,4.000,True
672,1.000,2.000,5.000,False
673,3.000,4.000,2.000,True
674,5.000,5.000,5.000,True
675,3.000,2.000,3.000,True
676,5.000,5.000,1.000,True
677,2.000,3.000,5.000,True
678,4.000,1.000,3.000,True
679,3.000,5.000,2.000,False
680,1.000,3.000,2.000,True
681,5.000,2.000,4.000,True
682,2.000,2.000,4.000,True
683,4.000,4.000,3.000,True
684,5.000,4.000,5.000,True
685,2.000,3.000,3.000,True
686,5.000,5.000,1.000,True
687,3.000,3.000,5.000,True
688,1.000,1.000,5.000,False
689,5.000,5.000,2.000,True
690,3.000,5.000,1.000,False
691,2.000,2.000,5.000,True
692,2.000,1.000,2.000,True
693,4.000,5.000,3.000,False
694,4.000,2.000,3.000,True
695,3.000,3.000,3.000,True
696,5.000,3.000,3.000,True
697,3.000,3.000,3.000,True
698,1.000,3.000,3.000,False
699,5.000,3.000,3.000,True
700,5.000,3.000,4.000,True
701,3.000,4.000,3.000,True
702,4.000,5.000,2.000,False
703,5.000,3.000,4.000,True
704,2.000,5.000,1.000,True
705,5.000,2.000,5.000,True
706,1.000,4.000,3.000,True
707,3.000,3.000,2.000,False
708,5.000,1.000,3.000,True
709,3.000,5.000,3.000,True
710,5.000,3.000,4.000,True
711,2.000,2.000,5.000,True
712,4.000,5.000,3.000,False
713,3.000,4.000,2.000,True
714,1.000,5.000,1.000,True
715,5.000,4.000,5.000,True
716,2.000,2.000,4.000,True
717,4.000,5.000,4.000,True
718,5.000,1.000,5.000,True
719,2.000,4.000,4.000,False
720,5.000,5.000,1.000,True
721,3.000,3.000,3.000,True
722,1.000,5.000,5.000,True
723,5.000,4.000,4.000,True
724,3.000,3.000,2.000,True
725,2.000,3.000,4.000,True
726,2.000,2.000,3.000,True
727,4.000,5.000,4.000,True
728,4.000,1.000,2.000,False
729,3.000,4.000,5.000,True
730,5.000,5.000,4.000,False
731,3.000,3.000,4.000,True
732,1.000,2.000,5.000,True
733,5.000,5.000,1.000,False
734,5.000,1.000,2.000,True
735,2.000,3.000,3.000,True
736,1.000,5.000,4.000,True
737,5.000,4.000,3.000,True
738,2.000,2.000,4.000,False
739,3.000,3.000,2.000,True
740,5.000,5.000,5.000,True
741,3.000,3.000,3.000,True
742,4.000,4.000,4.000,False
743,5.000,5.000,5.000,True
744,2.000,2.000,2.000,True
745,5.000,5.000,5.000,True
746,1.000,1.000,1.000,True
747,3.000,3.000,3.000,False
748,5.000,5.000,5.000,True
749,3.000,3.000,3.000,True
750,5.000,5.000,5.000,True
751,2.000,2.000,2.000,True
752,4.000,4.000,4.000,False
753,3.000,3.000,3.000,True
754,1.000,1.000,1.000,True
755,5.000,5.000,5.000,True
756,2.000,2.000,2.000,True
757,4.000,4.000,4.000,True
758,5.000,5.000,5.000,True
759,2.000,2.000,2.000,False
760,5.000,5.000,5.000,True
761,3.000,3.000,3.000,True
762,1.000,1.000,1.000,True
763,5.000,5.000,5.000,True
764,3.000,3.000,3.000,True
765,2.000,2.000,2.000,True
766,2.000,2.000,2.000,True
767,4.000,4.000,4.000,True
768,4.000,4.000,4.000,False
769,3.000,3.000,3.000,True
770,5.000,5.000,5.000,False
771,3.000,3.000,3.000,True
772,1.000,1.000,1.000,True
773,5.000,5.000,5.000,False
774,5.000,5.000,5.000,True
775,2.000,2.000,2.000,True
776,1.000,1.000,1.000,True
777,5.000,5.000,5.000,True
778,2.000,2.000,2.000,False
779,3.000,3.000,3.000,True
780,5.000,5.000,5.000,True
781,3.000,3.000,3.000,True
782,4.000,4.000,4.000,False
783,5.000,5.000,5.000,True
784,2.000,2.000,2.000,True
785,5.000,5.000,5.000,True
786,1.000,1.000,1.000,True
787,3.000,3.000,3.000,False
788,5.000,5.000,5.000,True
789,3.000,3.000,3.000,True
790,5.000,5.000,5.000,True
791,2.000,2.000,2.000,True
792,4.000,4.000,4.000,False
793,3.000,3.000,3.000,True
794,1.000,1.000,1.000,True
795,5.000,5.000,5.000,True
796,2.000,2.000,2.000,True
797,4.000,4.000,4.000,True
798,5.000,5.000,5.000,True
799,2.000,2.000,2.000,False
800,5.000,5.000,5.000,True
801,3.000,3.000,3.000,True
802,1.000,1.000,1.000,True
803,5.000,5.000,5.000,True
804,3.000,3.000,3.000,True
805,2.000,2.000,2.000,True
806,2.000,2.000,2.000,True
807,4.000,4.000,4.000,True
808,4.000,4.000,4.000,False
809,3.000,3.000,3.000,True
810,5.000,5.000,5.000,False
811,3.000,3.000,3.000,True
812,1.000,1.000,1.000,True
813,5.000,5.000,5.000,False
814,5.000,5.000,5.000,True
815,2.000,2.000,2.000,True
816,1.000,1.000,1.000,True
817,5.000,5.000,5.000,True
818,2.000,2.000,2.000,False
819,3.000,3.000,3.000,True
820,5.000,5.000,5.000,True
821,3.000,3.000,3.000,True
822,4.000,4.000,4.000,False
823,5.000,5.000,5.000,True
824,2.000,2.000,2.000,True
825,5.000,5.000,5.000,True
826,1.000,1.000,1.000,True
827,3.000,3.000,3.000,False
828,5.000,5.000,5.000,True
829,3.000,3.000,3.000,True
830,5.000,5.000,5.000,True
831,2.000,2.000,2.000,True
832,4.000,4.000,4.000,False
833,3.000,3.000,3.000,True
834,1.000,1.000,1.000,True
835,5.000,5.000,5.000,True
836,2.000,2.000,2.000,True
837,4.000,4.000,4.000,True
838,5.000,5.000,5.000,True
839,2.000,2.000,2.000,False
840,5.000,5.000,5.000,True
841,3.000,3.000,3.000,True
842,1.000,1.000,1.000,True
843,5.000,5.000,5.000,True
844,3.000,3.000,3.000,True
845,2.000,2.000,2.000,True
846,2.000,2.000,2.000,True
847,4.000,4.000,4.000,True
848,4.000,4.000,4.000,False
849,3.000,3.000,3.000,True
850,5.000,5.000,5.000,False
851,3.000,3.000,3.000,True
852,1.000,1.000,1.000,True
853,5.000,5.000,5.000,False
854,5.000,5.000,5.000,True
855,2.000,2.000,2.000,True
856,1.000,1.000,1.000,True
857,5.000,5.000,5.000,True
858,2.000,2.000,2.000,False
859,3.000,3.000,3.000,True
860,5.000,5.000,5.000,True
861,3.000,3.000,3.000,True
862,4.000,4.000,4.000,False
863,5.000,5.000,5.000,True
864,2.000,2.000,2.000,True
865,5.000,5.000,5.000,True
866,1.000,1.000,1.000,True
867,3.000,3.000,3.000,False
868,5.000,5.000,5.000,True
